chr1	10001	249240626
chr2	10001	243189376
chr3	60001	197962431
chr4	10001	191044281
chr5	10001	180905261
chr6	60001	171055071
chr7	10001	159128666
chr8	10001	146304026
chr9	10001	141153436
chr10	60001	135524751
chr11	60001	134946521
chr12	60001	133841896
chr13	19020001	115109881
chr14	19000001	107289541
chr15	20000001	102521396
chr16	60001	90294756
chr17	1	81195211
chr18	10001	78017251
chr19	60001	59118986
chr20	60001	62965516
chr21	9411191	48119896
chr22	16050001	51244571
chrX	60001	155260561
chrY	10001	59363571

